Date,K? s? d? li?u (data engineer),Khoa h?c d? li?u (data science),AI engineer,k? s? h?c máy (ML engineer),data scientist,công ngh? AI m?i (new AI technology),data engineer,trí tu? nhân t?o ?ng d?ng (applied AI),AI Vi?t Nam,chuy?n ??i s? (digital transformation),t? ??ng hóa (automation),trí tu? nhân t?o (AI),t? ??ng hóa trong s?n xu?t (automation in production),AI và vi?c làm (AI and jobs),s?n xu?t thông minh (smart production),AI trong s?n xu?t (AI in production)
2013-01,0,5,0,0,0,0,0,0,9,3,5,4,0,0,7,0
2013-02,0,0,0,0,0,0,0,0,8,2,4,0,0,0,0,0
2013-03,0,6,0,0,0,0,0,0,11,3,7,2,0,1,0,0
2013-04,0,4,0,0,0,0,0,0,11,3,5,3,0,2,0,0
2013-05,0,5,0,0,0,0,0,0,12,3,6,3,0,0,7,2
2013-06,0,5,0,0,0,0,0,0,10,3,6,3,0,0,4,0
2013-07,0,0,0,0,0,0,0,0,9,3,5,2,0,0,0,0
2013-08,0,6,0,0,0,0,0,0,9,3,6,3,0,1,7,0
2013-09,0,4,0,20,0,0,0,0,10,4,6,2,0,1,0,0
2013-10,0,3,0,0,0,0,0,0,14,4,7,4,0,1,6,0
2013-11,0,6,0,0,0,0,0,0,11,4,6,3,0,2,6,0
2013-12,0,5,0,0,0,0,0,0,10,4,7,3,0,0,5,0
2014-01,0,3,0,0,0,0,0,0,9,3,5,4,0,0,0,0
2014-02,0,4,0,29,0,0,0,0,10,3,6,8,0,1,0,0
2014-03,0,5,0,31,0,0,0,0,11,4,7,5,0,1,3,1
2014-04,0,6,0,28,0,0,0,0,12,4,6,4,0,2,8,0
2014-05,0,4,0,0,0,0,0,0,16,3,6,4,0,1,0,0
2014-06,0,6,0,24,0,0,0,11,10,3,5,3,0,0,4,0
2014-07,0,0,0,24,0,0,0,0,8,2,6,2,0,1,0,0
2014-08,0,6,0,17,0,0,0,0,10,3,7,5,0,0,5,0
2014-09,0,6,0,17,0,0,0,0,15,4,6,4,0,1,4,2
2014-10,0,5,0,17,0,0,0,0,17,4,7,4,0,1,9,0
2014-11,0,6,0,0,0,0,0,0,18,4,7,3,0,0,8,0
2014-12,0,5,0,25,0,0,0,7,17,4,6,4,0,1,5,0
2015-01,0,4,0,0,0,0,0,0,13,4,5,7,0,0,5,0
2015-02,0,0,0,0,0,0,0,0,11,2,4,3,0,0,5,0
2015-03,0,5,0,17,0,0,0,0,15,4,6,3,0,2,5,2
2015-04,0,6,0,0,0,0,0,0,16,4,6,3,3,1,8,2
2015-05,0,3,0,0,0,0,0,0,14,4,6,5,0,1,4,1
2015-06,0,5,0,17,0,0,0,0,12,4,6,3,0,1,4,0
2015-07,0,3,0,35,0,0,0,0,11,3,6,3,0,1,4,0
2015-08,0,6,0,42,0,0,0,0,11,3,7,3,0,1,0,0
2015-09,0,6,0,17,0,0,0,0,14,4,6,3,0,1,5,0
2015-10,0,5,0,0,0,0,0,7,17,5,7,5,0,1,8,0
2015-11,0,5,0,0,0,0,0,0,16,4,7,4,0,1,6,1
2015-12,0,8,0,16,0,0,0,0,18,5,7,4,0,1,8,2
2016-01,0,5,0,0,0,0,5,0,23,3,5,2,0,1,0,2
2016-02,0,0,0,0,0,0,0,0,14,2,4,2,0,1,4,0
2016-03,0,4,0,17,10,0,0,0,17,4,6,4,0,2,7,2
2016-04,0,5,0,13,0,0,0,0,19,3,6,4,0,1,8,2
2016-05,0,0,0,13,0,0,0,0,16,3,5,3,0,1,6,0
2016-06,0,5,0,18,0,0,0,0,12,3,5,3,0,1,5,0
2016-07,37,0,0,27,10,0,0,6,12,3,7,2,0,0,7,1
2016-08,0,4,0,32,0,0,0,0,13,4,7,2,0,1,5,0
2016-09,0,3,0,26,0,0,0,8,15,6,7,4,0,1,4,0
2016-10,0,3,0,14,8,0,0,6,15,5,7,4,0,2,6,1
2016-11,0,5,0,15,0,0,0,6,16,5,8,6,0,1,10,2
2016-12,0,6,0,0,9,7,0,0,16,6,7,4,0,2,7,3
2017-01,0,5,0,0,0,0,0,0,11,3,5,4,0,1,3,0
2017-02,0,4,0,0,7,0,0,0,14,6,7,5,0,2,9,2
2017-03,0,4,0,19,0,0,0,0,17,6,9,5,2,2,10,2
2017-04,0,3,0,27,0,0,0,0,16,6,9,5,0,2,7,2
2017-05,0,0,0,12,9,0,6,0,15,5,6,5,0,2,5,1
2017-06,0,4,0,0,0,0,0,0,11,4,6,4,0,1,6,0
2017-07,0,3,0,20,0,0,0,0,11,4,8,4,0,1,4,0
2017-08,0,4,0,19,8,0,0,0,12,4,6,6,0,2,6,0
2017-09,0,5,0,0,14,0,0,0,14,7,5,8,0,2,5,1
2017-10,0,5,0,0,10,0,0,7,19,6,8,9,0,2,7,1
2017-11,0,5,0,0,0,0,0,10,16,6,8,12,2,1,6,2
2017-12,0,5,0,13,9,0,0,0,18,8,8,8,3,2,9,2
2018-01,0,5,0,0,0,0,0,5,26,6,7,8,0,2,4,3
2018-02,0,0,0,0,9,0,0,0,14,3,5,6,0,1,5,0
2018-03,0,7,0,19,13,0,0,0,21,6,9,8,2,3,8,2
2018-04,0,6,0,30,10,0,0,0,17,6,10,7,3,3,7,3
2018-05,0,5,0,18,7,0,0,0,15,10,8,9,0,2,8,1
2018-06,0,6,0,0,9,0,0,0,15,10,7,6,0,1,3,0
2018-07,0,6,0,27,13,0,0,0,11,7,7,8,0,1,7,1
2018-08,0,5,0,24,13,0,0,0,22,9,7,7,0,2,5,0
2018-09,0,7,0,16,14,0,5,7,29,94,7,10,0,3,5,3
2018-10,0,5,0,0,13,0,0,13,25,47,8,10,0,2,7,3
2018-11,0,6,0,16,11,0,7,9,20,50,8,12,0,3,11,3
2018-12,0,9,0,0,20,0,7,6,29,25,11,9,3,3,10,4
2019-01,0,4,0,0,24,0,6,0,25,16,7,8,2,2,5,2
2019-02,0,3,0,14,26,0,6,0,18,13,9,8,3,2,6,0
2019-03,0,7,0,19,23,0,8,0,21,12,11,8,4,5,11,2
2019-04,0,11,0,37,19,5,9,8,19,12,13,9,6,5,10,3
2019-05,0,5,0,18,34,0,5,0,17,13,10,8,3,4,10,4
2019-06,0,7,0,31,36,0,11,0,19,10,8,7,3,2,7,2
2019-07,0,12,0,45,47,0,15,4,13,9,8,8,0,2,5,1
2019-08,0,9,0,21,33,0,9,4,14,11,8,9,0,2,7,2
2019-09,0,6,0,14,28,5,12,5,21,14,7,11,0,4,5,2
2019-10,0,7,5,14,29,0,9,11,24,14,9,13,3,5,11,5
2019-11,0,9,0,0,36,0,14,11,24,12,10,15,3,4,11,4
2019-12,0,9,5,11,39,0,12,5,26,15,14,11,6,6,14,9
2020-01,0,7,0,12,36,0,15,0,17,8,7,9,0,2,4,2
2020-02,0,7,0,16,41,0,15,4,17,10,11,16,6,6,7,4
2020-03,0,7,5,23,38,8,15,0,33,14,17,13,13,11,10,11
2020-04,0,14,6,32,31,15,18,6,43,22,31,11,27,27,20,21
2020-05,0,13,0,30,45,9,22,5,30,16,22,10,20,16,14,12
2020-06,0,16,0,40,44,8,21,6,24,18,24,10,14,14,14,10
2020-07,0,10,0,15,50,0,26,5,19,15,14,8,11,5,13,7
2020-08,0,13,0,40,43,0,22,6,18,11,9,10,3,3,9,3
2020-09,0,20,4,34,58,0,24,8,21,14,11,11,2,7,8,4
2020-10,0,15,5,24,35,8,17,10,23,18,11,11,5,7,13,8
2020-11,0,15,0,0,33,4,17,16,27,19,16,17,13,11,20,13
2020-12,0,15,4,21,33,5,17,11,30,24,22,15,15,15,18,18
2021-01,0,13,5,0,29,4,16,9,26,18,15,11,8,9,9,9
2021-02,0,8,0,14,28,0,15,0,27,15,12,8,7,9,5,5
2021-03,0,18,7,30,38,7,18,10,30,24,25,12,15,18,19,13
2021-04,0,26,7,35,43,5,18,11,36,23,23,13,20,17,16,13
2021-05,0,19,6,28,38,11,21,10,45,28,29,9,29,25,26,23
2021-06,0,17,8,20,25,8,20,3,46,23,23,8,33,13,15,20
2021-07,32,27,6,46,26,0,27,8,33,19,14,11,9,9,12,10
2021-08,0,25,5,32,31,0,20,7,33,26,10,10,5,10,8,8
2021-09,0,25,5,28,32,5,24,10,55,28,15,13,7,13,9,13
2021-10,0,29,6,19,35,13,19,15,55,51,39,13,44,35,27,51
2021-11,0,41,4,37,36,31,22,22,66,63,72,17,96,74,54,100
2021-12,0,32,6,33,35,31,21,25,76,65,91,15,94,80,63,96
2022-01,31,36,7,33,29,32,33,8,72,55,86,13,92,67,57,83
2022-02,65,30,14,65,32,20,62,14,65,38,46,16,39,34,20,31
